,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ECMWF-SEAS5.1,lead3,0.11739999999999973,0.051100000000000034,-0.15710000000000002,0.012099999999999667,-0.09050000000000047,-0.061100000000000154,-0.0043999999999999595,0.04479999999999984,-0.12290000000000045,0.006399999999999961,-0.017000000000000126,-0.07730000000000059
ECMWF-SEAS5.1,lead2,0.17079999999999995,0.009099999999999997,-0.33620000000000005,0.04269999999999996,0.023199999999999887,-0.11270000000000047,0.012399999999999967,-0.052100000000000035,-0.11000000000000032,-0.11360000000000037,-0.06469999999999976,-0.15500000000000025
ECMWF-SEAS5.1,lead1,0.2653,0.015700000000000047,-0.14809999999999968,-0.07220000000000004,0.019299999999999873,0.07119999999999982,-0.06530000000000014,-0.11389999999999989,-0.1865000000000001,-0.14690000000000003,-0.06320000000000014,-0.08540000000000014
Météo France-System 8,lead3,0.16059999999999985,0.10119999999999985,-0.17120000000000024,-0.041899999999999826,-0.15890000000000026,-0.11360000000000037,0.06699999999999984,-0.0017000000000000348,0.03579999999999961,-0.08180000000000032,-0.0008000000000001339,0.09609999999999985
Météo France-System 8,lead2,0.1248999999999999,0.12219999999999986,-0.23390000000000022,0.05439999999999967,-0.09680000000000022,-0.12200000000000033,-0.04940000000000011,0.005500000000000171,-0.07040000000000024,-0.08720000000000017,-0.10580000000000012,-0.028400000000000203
Météo France-System 8,lead1,0.15069999999999995,0.012099999999999667,-0.02870000000000017,-0.0053000000000003045,-0.05390000000000006,-0.06800000000000028,-0.06680000000000019,0.0129999999999999,-0.023600000000000287,-0.020600000000000396,-0.11149999999999993,0.009399999999999964
Met Office-GloSea6.2,lead3,0.055803571428571286,0.1270727040816324,-0.0731026785714286,-0.05685586734693904,-0.015465561224490054,-0.12691326530612268,-0.09510522959183687,0.045998086734693744,-0.12523915816326525,-0.10371492346938771,0.016103316326530503,-0.013552295918367818
Met Office-GloSea6.2,lead2,0.1708386479591837,0.01753826530612257,-0.1297087585034018,0.008450255102040671,-0.06831951530612246,-0.07597257653061229,-0.04655612244897944,-0.008051658163265252,-0.1261957908163267,-0.13982780612244916,0.02399553571428581,0.05412946428571419
Met Office-GloSea6.2,lead1,0.06441326530612246,-0.04707695578231341,-0.25247130102040827,-0.014030612244898322,-0.060666454081632626,-0.20607461734693922,-0.050860969387755084,0.012276785714285587,-0.09390943877551017,-0.09773596938775508,-0.016661352040816313,0.052455357142857095
DWD-GCFS2.1,lead3,0.10479166666666673,0.06145833333333328,-0.2087500000000002,0.09458333333333324,-0.05291666666666672,-0.03666666666666685,-0.1308333333333338,-0.007708333333333428,-0.01895833333333341,-0.03895833333333387,-0.10458333333333347,-0.08145833333333363
